# joint_log_example.csv -- reference format for actuator_eval envelopes
# robot=arm-004 joint=elbow fw=rs-fw-1.4.2 rate=1000Hz captured=2026-07-28T09:14:00Z
# units: t_s=s  q_rad=rad  qd_rad_s=rad/s  tau_Nm=N.m  (all joint-referred)
t_s,q_rad,qd_rad_s,tau_Nm
3.4180,-0.349066,0.00000,-3.76010
3.4190,-0.349066,0.00000,-3.85845
3.4200,-0.349066,0.00000,-3.92872
3.4210,-0.349066,0.00000,-3.82051
3.4220,-0.349066,0.00000,-3.80640
3.4230,-0.349066,0.00000,-3.80589
3.4240,-0.349066,0.00000,-3.59681
3.4250,-0.349066,0.00000,-3.89516
3.4260,-0.349066,0.00000,-3.93722
3.4270,-0.349066,0.00000,-3.91204
3.4280,-0.349066,0.00000,-3.94818
3.4290,-0.349066,0.00000,-3.82271
3.4300,-0.349066,0.00000,-3.76866
3.4310,-0.349066,0.00000,-3.90425
3.4320,-0.349066,0.00000,-3.77726
3.4330,-0.349066,0.00000,-3.99235
3.4340,-0.349066,0.00000,-3.86422
3.4350,-0.349066,0.00000,-4.02983
3.4360,-0.349066,0.00000,-3.90643
3.4370,-0.349066,0.00000,-3.93602
3.4380,-0.349066,0.00000,-3.94644
3.4390,-0.349066,0.00000,-3.93283
3.4400,-0.349066,0.00000,-3.76385
3.4410,-0.349066,0.00000,-3.80180
3.4420,-0.349066,0.00000,-3.90678
3.4430,-0.349066,0.00000,-3.83729
3.4440,-0.349066,0.00000,-3.86969
3.4450,-0.349066,0.00000,-3.83676
3.4460,-0.349066,0.00000,-3.86908
3.4470,-0.349066,0.00000,-3.81235
3.4480,-0.349066,0.00000,-3.80782
3.4490,-0.349066,0.00000,-3.76463
3.4500,-0.349066,0.00000,-4.05015
3.4510,-0.349066,0.00000,-3.96813
3.4520,-0.349066,0.00000,-3.94873
3.4530,-0.349066,0.00000,-3.90892
3.4540,-0.349066,0.00000,-3.87370
3.4550,-0.349066,0.00000,-3.89552
3.4560,-0.349066,0.00000,-3.93121
3.4570,-0.349066,0.00000,-3.91462
3.4580,-0.349066,0.00000,-3.82934
3.4590,-0.349066,0.00000,-4.01511
3.4600,-0.349066,0.00000,-3.87602
3.4610,-0.349066,0.00000,-3.96118
3.4620,-0.349066,0.00000,-3.85020
3.4630,-0.349066,0.00000,-3.66872
3.4640,-0.349066,0.00000,-3.81492
3.4650,-0.349066,0.00000,-3.82738
3.4660,-0.349066,0.00000,-3.89238
3.4670,-0.349066,0.00000,-3.87467
3.4680,-0.349066,0.00000,-3.98176
3.4690,-0.349066,0.00000,-3.87481
3.4700,-0.349066,0.00000,-4.02179
3.4710,-0.349066,0.00000,-3.71214
3.4720,-0.349066,0.00000,-3.85216
3.4730,-0.349066,0.00000,-3.79084
3.4740,-0.349066,0.00000,-3.81916
3.4750,-0.349066,0.00000,-3.84579
3.4760,-0.349066,0.00000,-4.10365
3.4770,-0.349066,0.00000,-3.87457
3.4780,-0.349066,0.00000,-3.83328
3.4790,-0.349066,0.00000,-3.87802
3.4800,-0.349066,0.00000,-3.79248
3.4810,-0.349066,0.00000,-3.78269
3.4820,-0.349066,0.00000,-3.79158
3.4830,-0.349066,0.00000,-3.97819
3.4840,-0.349066,0.00000,-4.05820
3.4850,-0.349066,0.00000,-3.74960
3.4860,-0.349066,0.00000,-3.72329
3.4870,-0.349066,0.00000,-3.86326
3.4880,-0.349066,0.00000,-3.86044
3.4890,-0.349066,0.00000,-3.86078
3.4900,-0.349066,0.00000,-3.66179
3.4910,-0.349066,0.00000,-3.77681
3.4920,-0.349066,0.00000,-3.77208
3.4930,-0.349066,0.00000,-3.86470
3.4940,-0.349066,0.00000,-3.80251
3.4950,-0.349066,0.00000,-3.79605
3.4960,-0.349066,0.00000,-3.93027
3.4970,-0.349066,0.00000,-3.91712
3.4980,-0.349066,0.00000,-3.85463
3.4990,-0.349066,0.00000,-3.72972
3.5000,-0.349066,0.00000,-3.86325
3.5010,-0.349066,0.00000,-3.74709
3.5020,-0.349066,0.00000,-3.86211
3.5030,-0.349066,0.00000,-3.79631
3.5040,-0.349066,0.00000,-3.89870
3.5050,-0.349066,0.00000,-3.74506
3.5060,-0.349066,0.00000,-4.03577
3.5070,-0.349066,0.00000,-3.88213
3.5080,-0.349066,0.00000,-3.83911
3.5090,-0.349066,0.00000,-3.94498
3.5100,-0.349066,0.00000,-3.75624
3.5110,-0.349066,0.00000,-3.82562
3.5120,-0.349066,0.00000,-3.66848
3.5130,-0.349066,0.00000,-3.85457
3.5140,-0.349066,0.00000,-4.02620
3.5150,-0.349066,0.00000,-3.79177
3.5160,-0.349066,0.00000,-3.94907
3.5170,-0.349066,0.00000,-3.87500
3.5180,-0.349066,0.00000,-3.90312
3.5190,-0.349066,0.00000,-3.81492
3.5200,-0.349066,0.00000,-3.81646
3.5210,-0.349066,0.00000,-3.73753
3.5220,-0.349066,0.00000,-3.89045
3.5230,-0.349066,0.00000,-3.76694
3.5240,-0.349066,0.00000,-3.78803
3.5250,-0.349066,0.00000,-3.94468
3.5260,-0.349066,0.00000,-3.99981
3.5270,-0.349066,0.00000,-3.93438
3.5280,-0.349066,0.00000,-3.84966
3.5290,-0.349066,0.00000,-3.83492
3.5300,-0.349066,0.00000,-3.90864
3.5310,-0.349066,0.00000,-4.01579
3.5320,-0.349066,0.00000,-3.93283
3.5330,-0.349066,0.00000,-3.86219
3.5340,-0.349066,0.00000,-3.91111
3.5350,-0.349066,0.00000,-3.92017
3.5360,-0.349066,0.00000,-3.77681
3.5370,-0.349066,0.00000,-3.97760
3.5380,-0.349066,0.00000,-3.84018
3.5390,-0.349066,0.00000,-3.87334
3.5400,-0.349066,0.00000,-3.88180
3.5410,-0.349066,0.00000,-3.89428
3.5420,-0.349066,0.00000,-4.08397
3.5430,-0.349066,0.00000,-3.90124
3.5440,-0.349066,0.00000,-3.97822
3.5450,-0.349066,0.00000,-3.82389
3.5460,-0.349066,0.00000,-3.78647
3.5470,-0.349066,0.00000,-3.90886
3.5480,-0.349066,0.00000,-4.08216
3.5490,-0.349066,0.00000,-3.84168
3.5500,-0.349066,0.00000,-4.01094
3.5510,-0.349066,0.00000,-3.85043
3.5520,-0.349066,0.00000,-3.92576
3.5530,-0.349066,0.00000,-3.92833
3.5540,-0.349066,0.00000,-3.89197
3.5550,-0.349066,0.00000,-3.95771
3.5560,-0.349066,0.00000,-3.95421
3.5570,-0.349066,0.00000,-3.92449
3.5580,-0.349066,0.00000,-3.90507
3.5590,-0.349066,0.00000,-3.97362
3.5600,-0.349066,0.00000,-3.97894
3.5610,-0.349066,0.00000,-3.90413
3.5620,-0.349066,0.00000,-3.85143
3.5630,-0.349066,0.00000,-3.87389
3.5640,-0.349066,0.00000,-3.77668
3.5650,-0.349066,0.00000,-3.89989
3.5660,-0.349066,0.00000,-3.87034
3.5670,-0.349066,0.00000,-3.73302
3.5680,-0.349066,0.00000,-4.05795
3.5690,-0.349066,0.00000,-3.81621
3.5700,-0.349066,0.00000,-3.86913
3.5710,-0.349066,0.00000,-3.81249
3.5720,-0.349066,0.00000,-3.86183
3.5730,-0.349066,0.00000,-4.02569
3.5740,-0.349066,0.00000,-3.84748
3.5750,-0.349066,0.00000,-3.88021
3.5760,-0.349066,0.00000,-3.84202
3.5770,-0.349066,0.00000,-3.96627
3.5780,-0.349066,0.00000,-3.93180
3.5790,-0.349066,0.00000,-3.91901
3.5800,-0.349066,0.00000,-4.01380
3.5810,-0.349066,0.00000,-3.90931
3.5820,-0.349066,0.00000,-3.83290
3.5830,-0.349066,0.00000,-4.02639
3.5840,-0.349066,0.00000,-3.87271
3.5850,-0.349066,0.00000,-3.91237
3.5860,-0.349066,0.00000,-3.72233
3.5870,-0.349066,0.00000,-3.74671
3.5880,-0.349066,0.00000,-3.89973
3.5890,-0.349066,0.00000,-3.82570
3.5900,-0.349066,0.00000,-3.93681
3.5910,-0.349066,0.00000,-3.99475
3.5920,-0.349066,0.00000,-3.86673
3.5930,-0.349066,0.00000,-3.94244
3.5940,-0.349066,0.00000,-3.87437
3.5950,-0.349066,0.00000,-3.89938
3.5960,-0.349066,0.00000,-3.84646
3.5970,-0.349066,0.00000,-4.02339
3.5980,-0.349066,0.00000,-3.92397
3.5990,-0.349066,0.00000,-3.83515
3.6000,-0.349066,0.00000,-3.89146
3.6010,-0.349066,0.00000,-3.92805
3.6020,-0.349066,0.00000,-3.80045
3.6030,-0.349066,0.00000,-3.73178
3.6040,-0.349066,0.00000,-3.67916
3.6050,-0.349066,0.00000,-3.95061
3.6060,-0.349066,0.00000,-3.91502
3.6070,-0.349066,0.00000,-3.88033
3.6080,-0.349066,0.00000,-4.02536
3.6090,-0.349066,0.00000,-3.91028
3.6100,-0.349066,0.00000,-3.96749
3.6110,-0.349066,0.00000,-3.99945
3.6120,-0.349066,0.00000,-3.85560
3.6130,-0.349066,0.00000,-3.99248
3.6140,-0.349066,0.00000,-3.89805
3.6150,-0.349066,0.00000,-3.89460
3.6160,-0.349066,0.00000,-3.93175
3.6170,-0.349066,0.00000,-3.85257
3.6180,-0.349066,0.00000,-3.83495
3.6190,-0.349066,0.00000,-3.90569
3.6200,-0.349066,0.00000,-3.97868
3.6210,-0.349066,0.00000,-3.74379
3.6220,-0.349066,0.00000,-3.92088
3.6230,-0.349066,0.00000,-3.93322
3.6240,-0.349066,0.00000,-3.85280
3.6250,-0.349066,0.00000,-3.93205
3.6260,-0.349066,0.00000,-3.93266
3.6270,-0.349066,0.00000,-3.76180
3.6280,-0.349066,0.00000,-3.83987
3.6290,-0.349066,0.00000,-3.80722
3.6300,-0.349066,0.00000,-4.12495
3.6310,-0.349066,0.00000,-3.95224
3.6320,-0.349066,0.00000,-3.87310
3.6330,-0.349066,0.00000,-3.90561
3.6340,-0.349066,0.00000,-3.94397
3.6350,-0.349066,0.00000,-3.81330
3.6360,-0.349066,0.00000,-3.98795
3.6370,-0.349066,0.00000,-3.87921
3.6380,-0.349066,0.00000,-3.95803
3.6390,-0.349066,0.00000,-3.89359
3.6400,-0.349066,0.00000,-3.80364
3.6410,-0.349066,0.00000,-3.71221
3.6420,-0.349066,0.00000,-3.87102
3.6430,-0.349066,0.00000,-3.95788
3.6440,-0.349066,0.00000,-3.85631
3.6450,-0.349066,0.00000,-3.82950
3.6460,-0.349066,0.00000,-4.02049
3.6470,-0.349066,0.00000,-3.95303
3.6480,-0.349066,0.00000,-3.96862
3.6490,-0.349066,0.00000,-3.82041
3.6500,-0.349066,0.00000,-3.80455
3.6510,-0.349066,0.00000,-3.87402
3.6520,-0.349066,0.00000,-3.96763
3.6530,-0.349066,0.00000,-3.99707
3.6540,-0.349066,0.00000,-3.84990
3.6550,-0.349066,0.00000,-3.97292
3.6560,-0.349066,0.00000,-3.97894
3.6570,-0.349066,0.00000,-3.80894
3.6580,-0.349066,0.00000,-3.76263
3.6590,-0.349066,0.00000,-3.86015
3.6600,-0.349066,0.00000,-3.78060
3.6610,-0.349066,0.00000,-3.74520
3.6620,-0.349066,0.00000,-3.83649
3.6630,-0.349066,0.00000,-3.78544
3.6640,-0.349066,0.00000,-3.95421
3.6650,-0.349066,0.00000,-3.80142
3.6660,-0.349066,0.00000,-3.85135
3.6670,-0.349066,0.00000,-3.89308
3.6680,-0.349066,0.00000,-3.73734
3.6690,-0.349066,0.00000,-3.76719
3.6700,-0.349066,0.00000,-3.95653
3.6710,-0.349066,0.00000,-3.87588
3.6720,-0.349066,0.00000,-3.93133
3.6730,-0.349066,0.00000,-3.73048
3.6740,-0.349066,0.00000,-3.89117
3.6750,-0.349066,0.00000,-3.91775
3.6760,-0.349066,0.00000,-3.87436
3.6770,-0.349066,0.00000,-3.92168
3.6780,-0.349066,0.00000,-3.94654
3.6790,-0.349066,0.00000,-3.94294
3.6800,-0.349066,0.00000,-4.05883
3.6810,-0.349066,0.00000,-3.82918
3.6820,-0.349066,0.00000,-3.80683
3.6830,-0.349066,0.00000,-3.80396
3.6840,-0.349066,0.00000,-3.78976
3.6850,-0.349066,0.00000,-4.01399
3.6860,-0.349066,0.00000,-3.76998
3.6870,-0.349066,0.00000,-3.86140
3.6880,-0.349066,0.00000,-3.81989
3.6890,-0.349066,0.00000,-3.81679
3.6900,-0.349066,0.00000,-3.99546
3.6910,-0.349066,0.00000,-3.91411
3.6920,-0.349066,0.00000,-3.90274
3.6930,-0.349066,0.00000,-3.90769
3.6940,-0.349066,0.00000,-3.91133
3.6950,-0.349066,0.00000,-3.92861
3.6960,-0.349066,0.00000,-4.02537
3.6970,-0.349066,0.00000,-3.95063
3.6980,-0.349066,0.00000,-3.87656
3.6990,-0.349066,0.00000,-3.81708
3.7000,-0.349066,0.00000,-3.76111
3.7010,-0.349066,0.00000,-3.78093
3.7020,-0.349066,0.00000,-3.96427
3.7030,-0.349066,0.00000,-3.82681
3.7040,-0.349066,0.00000,-3.81542
3.7050,-0.349066,0.00000,-3.81851
3.7060,-0.349066,0.00000,-3.81117
3.7070,-0.349066,0.00000,-3.84960
3.7080,-0.349066,0.00000,-3.85981
3.7090,-0.349066,0.00000,-3.97292
3.7100,-0.349066,0.00000,-3.96415
3.7110,-0.349066,0.00000,-3.79439
3.7120,-0.349066,0.00000,-3.83870
3.7130,-0.349066,0.00000,-3.74471
3.7140,-0.349066,0.00000,-4.04417
3.7150,-0.349066,0.00000,-3.82309
3.7160,-0.349066,0.00000,-3.83590
3.7170,-0.349066,0.00000,-4.03257
3.7180,-0.349066,0.00000,-3.66082
3.7190,-0.349066,0.00000,-3.83784
3.7200,-0.349066,0.00000,-3.82799
3.7210,-0.349066,0.00000,-3.87890
3.7220,-0.349066,0.00000,-3.79268
3.7230,-0.349066,0.00000,-3.94295
3.7240,-0.349066,0.00000,-3.77797
3.7250,-0.349066,0.00000,-3.78213
3.7260,-0.349066,0.00000,-4.06898
3.7270,-0.349066,0.00000,-3.95326
3.7280,-0.349066,0.00000,-3.93745
3.7290,-0.349066,0.00000,-3.84535
3.7300,-0.349066,0.00000,-3.89619
3.7310,-0.349066,0.00000,-3.71849
3.7320,-0.349066,0.00000,-3.81756
3.7330,-0.349066,0.00000,-3.86799
3.7340,-0.349066,0.00000,-3.83482
3.7350,-0.349066,0.00000,-3.88603
3.7360,-0.349066,0.00000,-3.91497
3.7370,-0.349066,0.00000,-3.76255
3.7380,-0.349066,0.00000,-3.86556
3.7390,-0.349066,0.00000,-3.96664
3.7400,-0.349066,0.00000,-3.81151
3.7410,-0.349066,0.00000,-3.86965
3.7420,-0.349066,0.00000,-3.81829
3.7430,-0.349066,0.00000,-3.85822
3.7440,-0.349066,0.00000,-4.04588
3.7450,-0.349066,0.00000,-3.81806
3.7460,-0.349066,0.00000,-4.00507
3.7470,-0.349066,0.00000,-3.89703
3.7480,-0.349066,0.00000,-3.83567
3.7490,-0.349066,0.00000,-3.84007
3.7500,-0.349066,0.00000,-3.84338
3.7510,-0.349066,0.00000,-3.80805
3.7520,-0.349066,0.00000,-3.79625
3.7530,-0.349066,0.00000,-4.11231
3.7540,-0.349066,0.00000,-3.89047
3.7550,-0.349066,0.00000,-3.99502
3.7560,-0.349066,0.00000,-3.72690
3.7570,-0.349066,0.00000,-3.84744
3.7580,-0.349066,0.00000,-3.97869
3.7590,-0.349066,0.00000,-3.90575
3.7600,-0.349066,0.00000,-3.94790
3.7610,-0.349066,0.00000,-3.82682
3.7620,-0.349066,0.00000,-3.94790
3.7630,-0.349066,0.00000,-3.78059
3.7640,-0.349066,0.00000,-3.84074
3.7650,-0.349066,0.00000,-4.03758
3.7660,-0.349066,0.00000,-3.91717
3.7670,-0.349066,0.00000,-3.89795
3.7680,-0.349066,0.00000,-3.98595
3.7690,-0.349066,0.00000,-3.87847
3.7700,-0.349066,0.00000,-4.04701
3.7710,-0.349066,0.00000,-3.93872
3.7720,-0.349066,0.00000,-3.91861
3.7730,-0.349066,0.00000,-3.81583
3.7740,-0.349066,0.00000,-3.87578
3.7750,-0.349066,0.00000,-3.76406
3.7760,-0.349066,0.00000,-3.82298
3.7770,-0.349066,0.00000,-3.92297
3.7780,-0.349066,0.00000,-3.85687
3.7790,-0.349066,0.00000,-3.60095
3.7800,-0.349066,0.00000,-3.83803
3.7810,-0.349066,0.00000,-3.86248
3.7820,-0.349066,0.00000,-3.73355
3.7830,-0.349066,0.00000,-3.84237
3.7840,-0.349066,0.00000,-3.97778
3.7850,-0.349066,0.00000,-3.88602
3.7860,-0.349066,0.00000,-4.00019
3.7870,-0.349066,0.00000,-3.79353
3.7880,-0.349066,0.00000,-3.83260
3.7890,-0.349066,0.00000,-3.89969
3.7900,-0.349066,0.00000,-3.84792
3.7910,-0.349066,0.00000,-3.82896
3.7920,-0.349066,0.00000,-3.74920
3.7930,-0.349066,0.00000,-3.91972
3.7940,-0.349066,0.00000,-3.86417
3.7950,-0.349066,0.00000,-3.86612
3.7960,-0.349066,0.00000,-3.98541
3.7970,-0.349066,0.00000,-3.83725
3.7980,-0.349066,0.00000,-4.00485
3.7990,-0.349066,0.00000,-3.88790
3.8000,-0.349066,0.00000,-3.85547
3.8010,-0.349066,0.00000,-3.90676
3.8020,-0.349066,0.00000,-3.86847
3.8030,-0.349066,0.00000,-3.73156
3.8040,-0.349066,0.00000,-3.99728
3.8050,-0.349066,0.00000,-3.86835
3.8060,-0.349066,0.00000,-3.97299
3.8070,-0.349066,0.00000,-3.94314
3.8080,-0.349066,0.00000,-3.75258
3.8090,-0.349066,0.00000,-3.80917
3.8100,-0.349066,0.00000,-4.04921
3.8110,-0.349066,0.00000,-3.89517
3.8120,-0.349066,0.00000,-3.82887
3.8130,-0.349066,0.00000,-3.74475
3.8140,-0.349066,0.00000,-3.80942
3.8150,-0.349066,0.00000,-3.75630
3.8160,-0.349066,0.00000,-3.74396
3.8170,-0.349066,0.00000,-3.98763
3.8180,-0.349066,0.00000,-3.97013
3.8190,-0.349066,0.00000,-3.94755
3.8200,-0.349066,0.00000,-3.85468
3.8210,-0.349066,0.00000,-3.90056
3.8220,-0.349066,0.00000,-3.84188
3.8230,-0.349066,0.00000,-4.00006
3.8240,-0.349066,0.00000,-3.87060
3.8250,-0.349066,0.00000,-4.00152
3.8260,-0.349066,0.00000,-3.90475
3.8270,-0.349066,0.00000,-3.92383
3.8280,-0.349066,0.00000,-3.84645
3.8290,-0.349066,0.00000,-3.91904
3.8300,-0.349066,0.00000,-3.91679
3.8310,-0.349066,0.00000,-3.93105
3.8320,-0.349066,0.00000,-3.83297
3.8330,-0.349066,0.00000,-3.85628
3.8340,-0.349066,0.00000,-3.98181
3.8350,-0.349066,0.00000,-4.07558
3.8360,-0.349066,0.00000,-3.75992
3.8370,-0.349066,0.00000,-3.85636
3.8380,-0.349066,0.00000,-3.89321
3.8390,-0.349066,0.00000,-3.69963
3.8400,-0.349066,0.00000,-3.80552
3.8410,-0.349066,0.00000,-3.84339
3.8420,-0.349066,0.00000,-3.84560
3.8430,-0.349066,0.00000,-3.69365
3.8440,-0.349066,0.00000,-3.92194
3.8450,-0.349066,0.00000,-3.90229
3.8460,-0.349066,0.00000,-3.78900
3.8470,-0.349066,0.00000,-3.90822
3.8480,-0.349066,0.00000,-3.73951
3.8490,-0.349066,0.00000,-3.77279
3.8500,-0.349066,0.00000,-3.73567
3.8510,-0.349066,0.00000,-3.85092
3.8520,-0.349066,0.00000,-3.82602
3.8530,-0.349066,0.00000,-3.85039
3.8540,-0.349066,0.00000,-3.87280
3.8550,-0.349066,0.00000,-3.98367
3.8560,-0.349066,0.00000,-3.90632
3.8570,-0.349066,0.00000,-3.96488
3.8580,-0.349066,0.00000,-3.86266
3.8590,-0.349066,0.00000,-3.90441
3.8600,-0.349066,0.00000,-3.99336
3.8610,-0.349066,0.00000,-4.12340
3.8620,-0.349066,0.00000,-3.87549
3.8630,-0.349066,0.00000,-4.05632
3.8640,-0.349066,0.00000,-4.03506
3.8650,-0.349066,0.00000,-3.84033
3.8660,-0.349066,0.00000,-4.00192
3.8670,-0.349066,0.00000,-3.91891
3.8680,-0.349066,0.00000,-3.80820
3.8690,-0.349066,0.00000,-3.94901
3.8700,-0.349066,0.00000,-3.76024
3.8710,-0.349066,0.00000,-3.84194
3.8720,-0.349066,0.00000,-3.94200
3.8730,-0.349066,0.00000,-3.94162
3.8740,-0.349066,0.00000,-3.93721
3.8750,-0.349066,0.00000,-3.83496
3.8760,-0.349066,0.00000,-3.82022
3.8770,-0.349066,0.00000,-3.78912
3.8780,-0.349066,0.00000,-3.87923
3.8790,-0.349066,0.00000,-3.87291
3.8800,-0.349066,0.00000,-3.87558
3.8810,-0.349066,0.00000,-3.90545
3.8820,-0.349066,0.00000,-4.00411
3.8830,-0.349066,0.00000,-3.92644
3.8840,-0.349066,0.00000,-3.65896
3.8850,-0.349066,0.00000,-3.91622
3.8860,-0.349066,0.00000,-3.81426
3.8870,-0.349066,0.00000,-3.99529
3.8880,-0.349066,0.00000,-4.02261
3.8890,-0.349066,0.00000,-3.83380
3.8900,-0.349066,0.00000,-3.90548
3.8910,-0.349066,0.00000,-4.08169
3.8920,-0.349066,0.00000,-3.92971
3.8930,-0.349066,0.00000,-3.88817
3.8940,-0.349066,0.00000,-3.76614
3.8950,-0.349066,0.00000,-3.76588
3.8960,-0.349066,0.00000,-3.81295
3.8970,-0.349066,0.00000,-3.94936
3.8980,-0.349066,0.00000,-3.87508
3.8990,-0.349066,0.00000,-3.96215
3.9000,-0.349066,0.00000,-3.76725
3.9010,-0.349066,0.00000,-3.85692
3.9020,-0.349066,0.00000,-3.69919
3.9030,-0.349066,0.00000,-3.97296
3.9040,-0.349066,0.00000,-3.73706
3.9050,-0.349066,0.00000,-3.79718
3.9060,-0.349066,0.00000,-3.80830
3.9070,-0.349066,0.00000,-3.93126
3.9080,-0.349066,0.00000,-4.00853
3.9090,-0.349066,0.00000,-3.87764
3.9100,-0.349066,0.00000,-3.55925
3.9110,-0.349066,0.00000,-3.64726
3.9120,-0.349066,0.00000,-3.77401
3.9130,-0.349066,0.00000,-3.84865
3.9140,-0.349066,0.00000,-3.80515
3.9150,-0.349066,0.00000,-3.86701
3.9160,-0.349066,0.00000,-3.83883
3.9170,-0.349066,0.00000,-3.90802
3.9180,-0.349066,0.00000,-3.90330
3.9190,-0.349066,0.00000,-3.75609
3.9200,-0.349066,0.00000,-3.84475
3.9210,-0.349066,0.00000,-3.91263
3.9220,-0.349066,0.00000,-3.86128
3.9230,-0.349066,0.00000,-4.04967
3.9240,-0.349066,0.00000,-4.00639
3.9250,-0.349066,0.00000,-3.85476
3.9260,-0.349066,0.00000,-3.87585
3.9270,-0.349066,0.00000,-3.88887
3.9280,-0.349066,0.00000,-3.87031
3.9290,-0.349066,0.00000,-4.01806
3.9300,-0.349066,0.00000,-3.91591
3.9310,-0.349066,0.00000,-3.85481
3.9320,-0.349066,0.00000,-4.07528
3.9330,-0.349066,0.00000,-3.92616
3.9340,-0.349066,0.00000,-3.96665
3.9350,-0.349066,0.00000,-3.95528
3.9360,-0.349066,0.00000,-3.84984
3.9370,-0.349066,0.00000,-3.98304
3.9380,-0.349066,0.00000,-3.87211
3.9390,-0.349066,0.00000,-3.85294
3.9400,-0.349066,0.00000,-3.99389
3.9410,-0.349066,0.00000,-3.91672
3.9420,-0.349066,0.00000,-3.92037
3.9430,-0.349066,0.00000,-3.92266
3.9440,-0.349066,0.00000,-3.85325
3.9450,-0.349066,0.00000,-3.97365
3.9460,-0.349066,0.00000,-3.87871
3.9470,-0.349066,0.00000,-3.90551
3.9480,-0.349066,0.00000,-3.83016
3.9490,-0.349066,0.00000,-3.78709
3.9500,-0.349066,0.00000,-3.85337
3.9510,-0.349066,0.00000,-3.95884
3.9520,-0.349066,0.00000,-3.96746
3.9530,-0.349066,0.00000,-3.74410
3.9540,-0.349066,0.00000,-3.81738
3.9550,-0.349066,0.00000,-4.06881
3.9560,-0.349066,0.00000,-3.83249
3.9570,-0.349066,0.00000,-4.03050
3.9580,-0.349066,0.00000,-3.83493
3.9590,-0.349066,0.00000,-4.03968
3.9600,-0.349066,0.00000,-3.94123
3.9610,-0.349066,0.00000,-3.67233
3.9620,-0.349066,0.00000,-3.71472
3.9630,-0.349066,0.00000,-3.83444
3.9640,-0.349066,0.00000,-3.92873
3.9650,-0.349066,0.00000,-3.87799
3.9660,-0.349066,0.00000,-3.90380
3.9670,-0.349066,0.00000,-3.81513
3.9680,-0.349066,0.00000,-3.91456
3.9690,-0.349066,0.00000,-3.89285
3.9700,-0.349066,0.00000,-3.97456
3.9710,-0.349066,0.00000,-3.68266
3.9720,-0.349066,0.00000,-3.84416
3.9730,-0.349066,0.00000,-3.91749
3.9740,-0.349066,0.00000,-3.92246
3.9750,-0.349066,0.00000,-3.93773
3.9760,-0.349066,0.00000,-3.78634
3.9770,-0.349066,0.00000,-3.80412
3.9780,-0.349066,0.00000,-3.80700
3.9790,-0.349066,0.00000,-3.77776
3.9800,-0.349066,0.00000,-3.78779
3.9810,-0.349066,0.00000,-3.70723
3.9820,-0.349066,0.00000,-3.87017
3.9830,-0.349066,0.00000,-3.84823
3.9840,-0.349066,0.00000,-3.77862
3.9850,-0.349066,0.00000,-3.91313
3.9860,-0.349066,0.00000,-3.92319
3.9870,-0.349066,0.00000,-3.84972
3.9880,-0.349066,0.00000,-3.86879
3.9890,-0.349066,0.00000,-3.71396
3.9900,-0.349066,0.00000,-3.99150
3.9910,-0.349066,0.00000,-3.73070
3.9920,-0.349066,0.00000,-3.95094
3.9930,-0.349066,0.00000,-3.82561
3.9940,-0.349066,0.00000,-3.90414
3.9950,-0.349066,0.00000,-3.95504
3.9960,-0.349066,0.00000,-3.97916
3.9970,-0.349066,0.00000,-3.94002
3.9980,-0.349066,0.00000,-3.80800
3.9990,-0.349066,0.00000,-3.88151
4.0000,-0.349066,0.00000,-3.76419
4.0010,-0.349066,0.00000,-3.82691
4.0020,-0.349066,0.00000,-4.05388
4.0030,-0.349066,0.00000,-3.79601
4.0040,-0.349066,0.00000,-3.84507
4.0050,-0.349066,0.00000,-3.88199
4.0060,-0.349066,0.00000,-3.89405
4.0070,-0.349066,0.00000,-3.57485
4.0080,-0.349066,0.00000,-3.82567
4.0090,-0.349066,0.00000,-3.88184
4.0100,-0.349066,0.00000,-3.92355
4.0110,-0.349066,0.00000,-3.86951
4.0120,-0.349066,0.00000,-3.92122
4.0130,-0.349066,0.00000,-3.95672
4.0140,-0.349066,0.00000,-3.92116
4.0150,-0.349066,0.00000,-3.92423
4.0160,-0.349066,0.00000,-3.84035
4.0170,-0.349066,0.00000,-3.90999
4.0180,-0.349066,0.00000,-3.82150
4.0190,-0.349066,0.00000,-3.85271
4.0200,-0.349066,0.00000,-3.87235
4.0210,-0.349066,0.00000,-3.83584
4.0220,-0.349066,0.00000,-3.70213
4.0230,-0.349066,0.00000,-3.74664
4.0240,-0.349066,0.00000,-3.83833
4.0250,-0.349066,0.00000,-3.84182
4.0260,-0.349066,0.00000,-3.83772
4.0270,-0.349066,0.00000,-3.94041
4.0280,-0.349066,0.00000,-3.92479
4.0290,-0.349066,0.00000,-4.01242
4.0300,-0.349066,0.00000,-3.85712
4.0310,-0.349066,0.00000,-3.82236
4.0320,-0.349066,0.00000,-3.76471
4.0330,-0.349066,0.00000,-3.94573
4.0340,-0.349066,0.00000,-3.86760
4.0350,-0.349066,0.00000,-3.81666
4.0360,-0.349066,0.00000,-3.82407
4.0370,-0.349066,0.00000,-3.79034
4.0380,-0.349066,0.00000,-3.82291
4.0390,-0.349066,0.00000,-3.59676
4.0400,-0.349066,0.00000,-3.80613
4.0410,-0.349066,0.00000,-3.87789
4.0420,-0.349066,0.00000,-3.93944
4.0430,-0.349066,0.00000,-3.77715
4.0440,-0.349066,0.00000,-3.88091
4.0450,-0.349066,0.00000,-3.93319
4.0460,-0.349066,0.00000,-4.04312
